ID,01_Kyoumu_T.png,02_Amazon2_F.png,03_Amazon3_F.png,04_Rakuten2_F.png,05_ticket_T.png,06_Rakuten_F.png,07_Rakuten_T.png,08_yodobasi_F.png,09_Apple1_F.png,10_Kankou_T.png,11_LINE_F.png,12_Kyufu2_F.png,13_ponta_T.png,14_Kyufu_F.png,15_SMBC_F.png,Mean Duration
ID000,6.6333,10.2166,5.5837,6.9999,5.5333,10.0336,9.1166,7.8333,7.4333,9.8666,6.6170,12.3832,10.0503,7.2333,9.3832,8.3278
ID001,14.8832,7.8499,8.1833,7.4836,9.9166,10.3003,17.7998,16.3665,10.7336,11.3999,13.1169,13.3832,18.5832,13.5002,7.6499,12.0767
ID002,9.7999,9.8165,2.7000,15.7670,6.9333,7.1166,13.8834,11.9665,13.9169,9.5832,10.2833,9.3999,11.8499,11.4834,11.4332,10.3955
ID003,15.2170,30.7165,3.4166,19.9499,11.2839,2.7166,36.2163,9.9003,3.6835,14.7665,13.5499,7.5169,18.0835,16.1165,10.6003,14.2490
ID004,40.0169,32.4002,22.4001,28.0668,56.3670,38.7169,41.0335,21.2834,24.1502,35.5169,12.1501,36.1585,35.4585,23.8668,31.9335,31.9680
ID005,27.4168,24.3001,7.9667,13.8501,11.5334,23.0835,5.6500,7.5334,8.7834,15.1667,25.0168,35.9169,13.0000,24.3834,27.5668,18.0779
ID006,23.4668,26.8168,11.6334,18.0001,25.7501,15.8168,19.8167,11.8501,5.4000,25.4835,4.5667,8.6667,9.3501,16.0668,11.0500,15.5823
ID007,22.0335,4.3000,11.3501,21.0835,31.2835,31.8835,27.7502,6.3167,4.7334,36.7502,8.9834,21.2001,25.7669,12.4334,17.0335,18.8601
ID008,23.6501,13.7834,15.1834,22.0168,19.4668,24.8168,24.4835,18.8168,14.2667,17.6834,9.8501,20.1168,22.0835,10.8667,21.8168,18.5934
ID009,6.3000,4.0667,7.2500,11.8667,9.2500,11.9000,27.4834,14.1667,14.4167,19.7167,6.5500,27.9168,18.3167,16.2334,9.4334,13.6578
ID010,2.2000,1.0833,1.2833,1.9667,1.1167,1.8667,1.1167,1.0667,1.3000,1.2667,1.6000,1.2333,5.2000,2.4334,4.4667,1.9467
ID011,13.6335,13.7999,12.2168,18.3167,23.7668,19.6834,39.8835,34.5335,10.2168,37.7834,23.5668,21.1001,16.4334,35.4169,16.6333,22.4656
ID012,5.7334,6.5167,7.7500,17.2002,7.5333,6.8667,7.6667,14.1501,7.7333,8.1167,8.7833,7.2334,11.2001,10.7335,5.8167,8.8689
ID013,29.1168,11.4834,6.1334,15.0667,22.0334,16.2833,25.9167,17.3667,6.0334,26.5001,9.3834,8.6667,36.2001,8.6334,5.3500,16.2778
ID014,28.3834,4.6000,4.1834,5.3333,22.3668,10.5166,19.2667,3.5334,7.9167,32.6835,7.8999,26.1334,13.8168,14.6000,24.4167,15.0434
ID015,112.1839,32.4501,14.8001,51.7003,53.1002,28.8835,58.1503,51.1336,59.5502,50.6086,27.1501,43.8002,57.3836,88.6338,116.5506,56.4053
ID016,15.1333,9.0167,5.9999,5.3000,13.5001,8.2833,20.2334,5.5000,7.3667,22.2000,6.9334,10.1666,25.2834,6.6334,16.7833,11.8889
ID017,24.3168,14.0667,3.9000,25.7501,23.8667,28.8167,21.9501,6.5167,12.4667,21.6001,20.0834,40.2835,14.4834,31.4335,24.5501,20.9390
ID018,32.5335,20.7501,13.4000,41.8335,48.6335,35.0501,45.2169,13.8834,11.9834,19.5834,9.5334,9.6334,38.7835,20.7834,28.1001,25.9801
ID019,60.4502,23.4167,34.5335,33.2501,52.9335,53.7502,102.0171,39.6168,46.5669,22.0167,26.5334,18.3001,30.4335,50.9669,22.2668,41.1368
ID101,17.6502,19.9667,17.9669,13.4500,17.4669,21.9500,12.7501,13.1167,9.4334,15.7668,7.0334,18.4333,20.2668,12.9834,13.6334,15.4579
ID102,13.3667,14.9001,21.4669,12.7001,18.8167,11.0501,20.7335,15.4334,16.5334,12.4835,11.5167,21.4667,18.1002,10.7167,13.4168,15.5134
ID103,9.7501,21.1168,2.8334,32.9668,22.9501,15.3502,7.3833,6.2834,10.2168,12.1002,7.2001,33.5502,9.1168,5.6000,20.9168,14.4890
ID104,38.0501,37.3168,41.3335,46.3335,26.0001,39.3835,45.1502,40.0835,32.3501,36.7002,14.3834,57.7836,44.8502,25.3334,26.8001,36.7901
ID105,12.0834,38.1835,2.9667,20.4168,28.3668,12.5500,47.8502,12.4584,15.2168,24.3501,12.7834,29.2502,25.1168,7.4167,41.0169,22.0018
