ID,Accuracy,Precision,Recall,F-measure,TP,FN,FP,TN,KeyMiss,Header,HeaderTime,Footer,URL
000,1.0,1.0,1.0,1.0,10,0,0,4,1,0.16095169769516987,0.11797495659775589,0.1628571428571428,0.06547304793785559
001,0.8666666666666667,0.8333333333333334,1.0,0.9090909090909092,10,0,2,3,0,0.33580058069663665,0.055553303028427634,0.06598650501551555,0.07847555189600496
002,0.6,0.8333333333333334,0.5,0.625,5,5,1,4,0,0.11285155615157813,0.061438907733956154,0.0,0.054246750937225044
003,0.6666666666666666,0.8571428571428571,0.6,0.7058823529411764,6,4,1,4,0,0.0,0.0,0.0,0.0
004,0.8666666666666667,0.9,0.9,0.9,9,1,1,4,0,0.07392232346637331,0.012401161597176599,0.0486179662283646,0.053350646809121514
005,0.9333333333333332,1.0,0.9,0.9473684210526316,9,1,0,5,0,0.14277925988197304,0.013008994446817275,0.1597710786279298,0.08191716428097504
006,0.6,0.8333333333333334,0.5,0.625,5,5,1,4,0,0.08952941068745461,0.018759284762885943,0.1916279862027849,0.10362417471403092
007,1.0,1.0,1.0,1.0,10,0,0,5,0,0.29699328854561624,0.0107136583439835,0.07757886927023841,0.14034513737091245
008,0.8,1.0,0.7,0.8235294117647058,7,3,0,5,0,0.12609752864941753,0.02497127017735609,0.13241700980439944,0.09536717897735633
009,0.8,1.0,0.7,0.8235294117647058,7,3,0,5,0,0.20591552241457348,0.0367717040917429,0.0,0.08383831410388322
010,0.3333333333333333,0.5,0.3,0.3749999999999999,3,7,3,2,0,0.19014576118894452,0.0,0.0,0.0679365753238351
011,0.6666666666666666,1.0,0.5,0.6666666666666666,5,5,0,5,0,0.16965480859590715,0.007791065890337724,0.08461070844049559,0.09754525276884896
012,0.7857142857142857,1.0,0.6666666666666666,0.8,6,3,0,5,1,0.21438324813935197,0.021501223123471,0.1361739130434782,0.09587249404812069
013,1.0,1.0,1.0,1.0,10,0,0,5,0,0.08356630480030929,0.0,0.09753330321684855,0.02599541780386481
014,0.8666666666666667,1.0,0.8,0.888888888888889,8,2,0,5,0,0.10418943722263813,0.019246561782750353,0.1059154929577464,0.07386862039539811
015,0.7333333333333333,0.875,0.7,0.7777777777777777,7,3,1,4,0,0.21548202913898776,0.005001692534105834,0.06464774823454875,0.05616421344784194
016,0.8666666666666667,0.8333333333333334,1.0,0.9090909090909092,10,0,2,3,0,0.29264745848303914,0.032586468245316004,0.0487270248764006,0.14203032225590348
017,0.8666666666666667,0.9,0.9,0.9,9,1,1,4,0,0.1268919121042227,0.024344022482615333,0.015082398389019,0.151574737436245
018,0.6666666666666666,0.7777777777777778,0.7,0.7368421052631577,7,3,2,3,0,0.30086921464075667,0.01969931073908757,0.1107905957527673,0.09536057455697347
019,0.3333333333333333,0.5,0.3,0.3749999999999999,3,7,3,2,0,0.21177645962585773,0.011707351292188065,0.1657929118362081,0.14480825543026793
101,1.0,1.0,1.0,1.0,10,0,0,5,0,0.0246511857220332,0.0,0.0042279023007999,0.0726397823729878
102,0.6666666666666666,0.8571428571428571,0.6,0.7058823529411764,6,4,1,4,0,0.09173249121966862,0.0,0.06059535161478775,0.020986045463005976
103,0.8,1.0,0.7,0.8235294117647058,7,3,0,5,0,0.09937779543137924,0.0,0.053674159879646605,0.10989866770248732
104,1.0,1.0,1.0,1.0,10,0,0,5,0,0.1621119891796292,0.018742982726161247,0.0606286181368404,0.05651702255777837
105,0.8,1.0,0.7,0.8235294117647058,7,3,0,5,0,0.12130988252800903,0.0089054869290433,0.0155963480893218,0.1026212218966391
